,review,rating,Positive,Negative,Neutral,Output,Character Counts,Word Counts
3665,good product better qualiti  ,5,0.744,0.0,0.256,Happy,29,4
3666,hyper deliveri  good qualiti packag qualiti nylon shatila,5,0.293,0.0,0.707,Happy,57,8
3667,good one us play outdoor everyday constant play  hour shuttl last three week play profession play hard us realli good hit shuttl rod well still shuttl good one point remov plastic start get ruptur price within middl class rang littl higher,4,0.379,0.026,0.595,Unhappy,239,41
3668,good,4,1.0,0.0,0.0,Unhappy,4,1
3669,look nicenew packingveri fast deliveri  day,5,0.0,0.0,1.0,Happy,43,6
3670,fantast,5,0.0,0.0,1.0,Happy,7,1
3671,awsom precis ,5,0.0,0.0,1.0,Happy,13,2
3672,bad,5,0.0,1.0,0.0,Happy,3,1
3673,good,5,1.0,0.0,0.0,Happy,4,1
3674,wen purchas  time qualiti bad even stand  game,1,0.0,0.333,0.667,Unhappy,46,8
3675,good,4,1.0,0.0,0.0,Unhappy,4,1
3676,good qualiti  deliv  day  less shop price,5,0.326,0.0,0.674,Happy,41,7
3677,product deliv expect deliveri within  hour receiv genuin product expectedthank flipkart,5,0.0,0.0,1.0,Happy,87,11
3678,good qualiti,4,0.744,0.0,0.256,Unhappy,12,2
3679,wonder,5,0.0,0.0,1.0,Happy,6,1
3680,superb product good qualiti reason price,4,0.636,0.0,0.364,Unhappy,40,6
3681,good,4,1.0,0.0,0.0,Unhappy,4,1
3682,good product,5,0.744,0.0,0.256,Happy,12,2
3683,ball r good qualiti,2,0.592,0.0,0.408,Unhappy,19,4
3684,awesom,5,0.0,0.0,1.0,Happy,6,1
3685,suitabl indoor high recommend,5,0.455,0.0,0.545,Happy,29,4
3686,origin product thank send origin product,5,0.333,0.0,0.667,Happy,40,6
3687,best,5,1.0,0.0,0.0,Happy,4,1
3688,good product,4,0.744,0.0,0.256,Unhappy,12,2
3689,good,4,1.0,0.0,0.0,Unhappy,4,1
3690,great product reason price  cheaper offlin purchas good deliveri servic wellgo grab itit great deay ,5,0.481,0.0,0.519,Happy,100,15
3691,bad,3,0.0,1.0,0.0,Unhappy,3,1
3692,nice ,5,1.0,0.0,0.0,Happy,5,1
3693,fine,4,1.0,0.0,0.0,Unhappy,4,1
3694,ok,2,1.0,0.0,0.0,Unhappy,2,1
3695,good,5,1.0,0.0,0.0,Happy,4,1
3696,good,1,1.0,0.0,0.0,Unhappy,4,1
3697,good,5,1.0,0.0,0.0,Happy,4,1
3698,ist time purchas got origin product  month  time purchas got duplic product,3,0.0,0.0,1.0,Unhappy,75,12
3699,nice shuttl buy,5,0.583,0.0,0.417,Happy,15,3
3700,excel,5,1.0,0.0,0.0,Happy,5,1
3701,goodproduct genuin,5,0.0,0.0,1.0,Happy,18,2
3702,super,5,1.0,0.0,0.0,Happy,5,1
3703,excel shuttl use sinc year best qualiti,5,0.59,0.0,0.41,Happy,39,7
3704,satisfact,5,0.0,0.0,1.0,Happy,9,1
3705,nice shuttl reason price excel qualiti,4,0.592,0.0,0.408,Unhappy,38,6
3706,box   piec light damag,3,0.0,0.0,1.0,Unhappy,22,4
3707,good,5,1.0,0.0,0.0,Happy,4,1
3708,damag,1,0.0,0.0,1.0,Unhappy,5,1
3709,super cock white nis project,4,0.459,0.188,0.353,Unhappy,28,5
3710,awesom shuttl,5,0.0,0.0,1.0,Happy,13,2
3711,nice,5,1.0,0.0,0.0,Happy,4,1
3712,worth money,5,0.655,0.0,0.345,Happy,11,2
3713,good,5,1.0,0.0,0.0,Happy,4,1
3714,day duplic comingaft one game becom rocket,3,0.0,0.0,1.0,Unhappy,42,7
3715,pro level,5,0.0,0.0,1.0,Happy,9,2
3716,genuin qualiti super fast deliveri,5,0.494,0.0,0.506,Happy,34,5
3717,good use nice product,4,0.74,0.0,0.26,Unhappy,21,4
3718,good,5,1.0,0.0,0.0,Happy,4,1
3719,super,4,1.0,0.0,0.0,Unhappy,5,1
3720,superb high qualiti product,5,0.577,0.0,0.423,Happy,27,4
3721,nice,4,1.0,0.0,0.0,Unhappy,4,1
3722,good,5,1.0,0.0,0.0,Happy,4,1
3723,clean neat receiv exact advertis,5,0.655,0.0,0.345,Happy,32,5
3724,super best qualiti,5,0.89,0.0,0.11,Happy,18,3
3725,best product,5,0.808,0.0,0.192,Happy,12,2
3726,good qualiti,4,0.744,0.0,0.256,Unhappy,12,2
3727,orgin one,5,0.0,0.0,1.0,Happy,9,2
3728,nice product,5,0.737,0.0,0.263,Happy,12,2
3729,good,4,1.0,0.0,0.0,Unhappy,4,1
3730,good qualiti,5,0.744,0.0,0.256,Happy,12,2
3731,good,5,1.0,0.0,0.0,Happy,4,1
3732,good,5,1.0,0.0,0.0,Happy,4,1
3733,awesom,5,0.0,0.0,1.0,Happy,6,1
3734,nice product must buy,5,0.483,0.0,0.517,Happy,21,4
3735,qualiti product,4,0.0,0.0,1.0,Unhappy,15,2
3736,perfect,5,1.0,0.0,0.0,Happy,7,1
3737,good,5,1.0,0.0,0.0,Happy,4,1
3738,thank vishnu nice deliv product,5,0.639,0.0,0.361,Happy,31,5
3739,good,4,1.0,0.0,0.0,Unhappy,4,1
3740,superb qualiti,4,0.804,0.0,0.196,Unhappy,14,2
3741,tx product price cost,1,0.455,0.0,0.545,Unhappy,21,4
3742,nice product,5,0.737,0.0,0.263,Happy,12,2
3743,good,4,1.0,0.0,0.0,Unhappy,4,1
3744,durabl  qualiti satisfi,4,0.0,0.0,1.0,Unhappy,23,3
3745,excel work,5,0.75,0.0,0.25,Happy,10,2
3746,satisfi product,5,0.0,0.0,1.0,Happy,15,2
3747,nice product price quit high market,4,0.359,0.0,0.641,Unhappy,35,6
3748,shuttl  genuinepl go head one want buy,5,0.178,0.0,0.822,Happy,38,7
3749,good,4,1.0,0.0,0.0,Unhappy,4,1
3750,must buy,5,0.0,0.0,1.0,Happy,8,2
3751,good qualiti,4,0.744,0.0,0.256,Unhappy,12,2
3752,good qualiti,5,0.744,0.0,0.256,Happy,12,2
3753,everi time r fece problem order teke ru  like bussi r order perfect payment take order,5,0.312,0.136,0.553,Happy,86,16
3754,great,5,1.0,0.0,0.0,Happy,5,1
3755,good ,5,1.0,0.0,0.0,Happy,5,1
3756,super,5,1.0,0.0,0.0,Happy,5,1
3757,nice,4,1.0,0.0,0.0,Unhappy,4,1
3758,beauti product,5,0.0,0.0,1.0,Happy,14,2
3759,overal product good price bit high,4,0.367,0.0,0.633,Unhappy,34,6
3760,better,4,1.0,0.0,0.0,Unhappy,6,1
3761,old stock medium speed practic fast,2,0.0,0.0,1.0,Unhappy,35,6
3762,good,3,1.0,0.0,0.0,Unhappy,4,1
3763,good qualiti,4,0.744,0.0,0.256,Unhappy,12,2
3764,good playveri durabl long last,5,0.42,0.0,0.58,Happy,30,5
3765,good,5,1.0,0.0,0.0,Happy,4,1
3766,cheap best product ever find rate shop site thank flipkart,5,0.456,0.0,0.544,Happy,58,10
3767,good,5,1.0,0.0,0.0,Happy,4,1
3768,realli good product ,5,0.592,0.0,0.408,Happy,20,3
3769,nice,4,1.0,0.0,0.0,Unhappy,4,1
3770,nice one,5,0.737,0.0,0.263,Happy,8,2
3771,good origin product,5,0.592,0.0,0.408,Happy,19,3
3772,nic,5,0.0,0.0,1.0,Happy,3,1
3773,yonexxx yonexxx compar other,5,0.0,0.0,1.0,Happy,28,4
3774,yonox yonox great qualiti,5,0.577,0.0,0.423,Happy,25,4
3775,valu money nice cork worth,5,0.61,0.0,0.39,Happy,26,5
3776,long last,5,0.0,0.0,1.0,Happy,9,2
3777,nice,5,1.0,0.0,0.0,Happy,4,1
3778,good qualiti last  match singl cork ,5,0.367,0.0,0.633,Happy,36,6
3779,medium speed eventhough green capno consist,3,0.0,0.0,1.0,Unhappy,43,6
3780,super origin,4,0.796,0.0,0.204,Unhappy,12,2
3781,good one feel speed differ green vs white,5,0.293,0.0,0.707,Happy,41,8
3782,best qualiti super,5,0.89,0.0,0.11,Happy,18,3
3783,good,4,1.0,0.0,0.0,Unhappy,4,1
3784,love product ,5,0.808,0.0,0.192,Happy,13,2
3785,best buy,5,0.808,0.0,0.192,Happy,8,2
3786,good,5,1.0,0.0,0.0,Happy,4,1
3787,good expect ,5,0.744,0.0,0.256,Happy,12,2
3788,qualiti cheat worst money,2,0.0,0.78,0.22,Unhappy,25,4
3789,qualiti good deliveri quick,5,0.492,0.0,0.508,Happy,27,4
3790,good product deliveri due date plan purchas  movi  pleas wast go ,4,0.225,0.0,0.775,Unhappy,65,11
3791,slow shuttl  feel dulic,1,0.0,0.0,1.0,Unhappy,23,4
3792,nice product,5,0.737,0.0,0.263,Happy,12,2
3793,shuttl nice well pack   thank flipkart,5,0.712,0.0,0.288,Happy,38,6
3794,good  go,1,0.744,0.0,0.256,Unhappy,8,2
3795,best choic,4,0.808,0.0,0.192,Unhappy,10,2
3796,super slow,3,0.796,0.0,0.204,Unhappy,10,2
3797,awesom,5,0.0,0.0,1.0,Happy,6,1
3798,suitabl open ground practic feel heavi weight,2,0.0,0.0,1.0,Unhappy,45,7
3799,nic,5,0.0,0.0,1.0,Happy,3,1
3800,origin product,5,0.0,0.0,1.0,Happy,14,2
3801,good product afford price ,5,0.492,0.0,0.508,Happy,26,4
3802,good,4,1.0,0.0,0.0,Unhappy,4,1
3803,good qualiti,4,0.744,0.0,0.256,Unhappy,12,2
3804,best open ground,5,0.677,0.0,0.323,Happy,16,3
3805,excel,5,1.0,0.0,0.0,Happy,5,1
3806,good qualiti play  hour vigoursli daili shuttl last  day play vigourslysmash otherwis  day shuttl  shuttl box order retailnet lot price updown think due huge demand,4,0.317,0.048,0.635,Unhappy,164,25
3807,good  genuin shuttl,5,0.592,0.0,0.408,Happy,19,3
3808,origin onefail sunris test unabl scratch hologram get code,1,0.0,0.0,1.0,Unhappy,58,9
3809,gud qualiti,5,0.0,0.0,1.0,Happy,11,2
3810,better,5,1.0,0.0,0.0,Happy,6,1
3811,super,4,1.0,0.0,0.0,Unhappy,5,1
3812,excel,5,1.0,0.0,0.0,Happy,5,1
3813,good,4,1.0,0.0,0.0,Unhappy,4,1
3814,product reseav bad,2,0.0,0.636,0.364,Unhappy,18,3
3815,nice,5,1.0,0.0,0.0,Happy,4,1
3816,good,5,1.0,0.0,0.0,Happy,4,1
3817,perfect  originalfast deliveri,5,0.649,0.0,0.351,Happy,30,3
3818,nice shuttl,4,0.737,0.0,0.263,Unhappy,11,2
3819,green b slow fast,3,0.0,0.0,1.0,Unhappy,17,4
3820,good qualiti,5,0.744,0.0,0.256,Happy,12,2
3821,nice product,4,0.737,0.0,0.263,Unhappy,12,2
3822,nice,5,1.0,0.0,0.0,Happy,4,1
3823,nice,5,1.0,0.0,0.0,Happy,4,1
3824,nice,5,1.0,0.0,0.0,Happy,4,1
3825,good qualiti,5,0.744,0.0,0.256,Happy,12,2
3826,nice,5,1.0,0.0,0.0,Happy,4,1
3827,bad,1,0.0,1.0,0.0,Unhappy,3,1
3828,bad everi day one get damag,1,0.0,0.412,0.588,Unhappy,27,6
3829,good long life,5,0.592,0.0,0.408,Happy,14,3
3830,good one,5,0.744,0.0,0.256,Happy,8,2
3831,good one,5,0.744,0.0,0.256,Happy,8,2
3832,origin price much,5,0.0,0.0,1.0,Happy,17,3
3833,good,4,1.0,0.0,0.0,Unhappy,4,1
3834,good product,5,0.744,0.0,0.256,Happy,12,2
3835,nice,5,1.0,0.0,0.0,Happy,4,1
3836,good product,4,0.744,0.0,0.256,Unhappy,12,2
3837,absenc mavi  best product,5,0.583,0.0,0.417,Happy,25,4
3838,first shuttl use bit fast  third good play appropri speed good use go r nation player ,4,0.406,0.0,0.594,Unhappy,86,16
3839, shuttl  partial manufactur defect product look origin seller pay attent custom pay amount  shuttl,4,0.0,0.321,0.679,Unhappy,98,14
3840,good turst,5,0.744,0.0,0.256,Happy,10,2
3841,worst product think mavi  durabl averag shuttl thought mine clear blunder last least  cork broken  set play play indoor go otherwis donat money flipkart,1,0.22,0.214,0.565,Unhappy,152,24
3842,ok,4,1.0,0.0,0.0,Unhappy,2,1
3843,genuin product,5,0.0,0.0,1.0,Happy,14,2
3844,good,4,1.0,0.0,0.0,Unhappy,4,1
3845,suitabl play reason price,4,0.444,0.0,0.556,Unhappy,25,4
3846,purchas shuttl flipkart long time qualiti shuttl lack recent may buy anymor due lack qualiti,2,0.0,0.261,0.739,Unhappy,92,15
3847,fast deliveri thank flipkart,4,0.455,0.0,0.545,Unhappy,28,4
3848,good product,5,0.744,0.0,0.256,Happy,12,2
3849,good,5,1.0,0.0,0.0,Happy,4,1
3850,nice one,5,0.737,0.0,0.263,Happy,8,2
3851,fine,5,1.0,0.0,0.0,Happy,4,1
3852,good,4,1.0,0.0,0.0,Unhappy,4,1
3853,worth,5,1.0,0.0,0.0,Happy,5,1
3854,import month deliveri month total new,5,0.0,0.0,1.0,Happy,37,6
3855,product good like much flipkart brand app think think alway good perfect keep,5,0.571,0.0,0.429,Happy,77,13
3856,good qualiti,5,0.744,0.0,0.256,Happy,12,2
3857,felt good one cork speed differ cork,1,0.326,0.0,0.674,Unhappy,36,7
3858,check origin fakemin origin,5,0.0,0.0,1.0,Happy,27,4
3859,super,5,1.0,0.0,0.0,Happy,5,1
3860,white one bad worthless better go yellow,1,0.218,0.481,0.301,Unhappy,40,7
3861,good product good price qualiti also good perfect play,5,0.787,0.0,0.213,Happy,54,9
3862,good,4,1.0,0.0,0.0,Unhappy,4,1
3863,nice product,4,0.737,0.0,0.263,Unhappy,12,2
3864,outdoor coat shettel bad,1,0.0,0.538,0.462,Unhappy,24,4
3865,good qualiyt,5,0.744,0.0,0.256,Happy,12,2
3866,good,5,1.0,0.0,0.0,Happy,4,1
3867,good,3,1.0,0.0,0.0,Unhappy,4,1
3868,good product,5,0.744,0.0,0.256,Happy,12,2
3869,shuttl vey durabl even play rigorouslyit last   daysso light n good play,4,0.49,0.0,0.51,Unhappy,72,12
3870,genuin good goe long way,5,0.42,0.0,0.58,Happy,24,5
3871,play good short life may old stock  use  long time last   day easili time shuttl stand hard  day  shuttl goe way cork break,4,0.199,0.052,0.749,Unhappy,123,23
3872,nice,3,1.0,0.0,0.0,Unhappy,4,1
3873,qualiti product,5,0.0,0.0,1.0,Happy,15,2
3874,ok,3,1.0,0.0,0.0,Unhappy,2,1
3875,good packag good product,5,0.744,0.0,0.256,Happy,24,4
3876,thank yonex best indoor outdoor one go product blind,5,0.435,0.175,0.39,Happy,52,9
3877,nice,5,1.0,0.0,0.0,Happy,4,1
3878,good,5,1.0,0.0,0.0,Happy,4,1
3879,good one deliveri tooo late,4,0.42,0.0,0.58,Unhappy,27,5
3880,nyc product,5,0.0,0.0,1.0,Happy,11,2
3881,good one,4,0.744,0.0,0.256,Unhappy,8,2
3882,nice,4,1.0,0.0,0.0,Unhappy,4,1
3883,superrrrb,4,0.0,0.0,1.0,Unhappy,9,1
3884,good,5,1.0,0.0,0.0,Happy,4,1
3885,excel,5,1.0,0.0,0.0,Happy,5,1
3886,good product,5,0.744,0.0,0.256,Happy,12,2
3887,good qualiti,4,0.744,0.0,0.256,Unhappy,12,2
3888,good,5,1.0,0.0,0.0,Happy,4,1
3889,nice product ,5,0.737,0.0,0.263,Happy,13,2
3890,gud ,5,0.0,0.0,1.0,Happy,4,1
3891,good,3,1.0,0.0,0.0,Unhappy,4,1
3892,recommend,5,1.0,0.0,0.0,Happy,9,1
3893,valu money,5,0.0,0.0,1.0,Happy,10,2
3894,nice good shuttlecock fast deliveri love thank flipkart deliveri,5,0.713,0.0,0.287,Happy,64,9
3895,super,5,1.0,0.0,0.0,Happy,5,1
3896,good valu money speed deliveri,4,0.42,0.0,0.58,Unhappy,30,5
3897,best qualiti,5,0.808,0.0,0.192,Happy,12,2
3898,flexibl,4,0.0,0.0,1.0,Unhappy,7,1
3899,superb ,5,1.0,0.0,0.0,Happy,7,1
3900,good one,5,0.744,0.0,0.256,Happy,8,2
3901,nice qualiti,5,0.737,0.0,0.263,Happy,12,2
3902,simpli perfect ,5,0.787,0.0,0.213,Happy,15,2
3903,nice durabl specif effect beginn,4,0.412,0.0,0.588,Unhappy,32,5
3904,fantast,5,0.0,0.0,1.0,Happy,7,1
3905,get damag fast,3,0.0,0.0,1.0,Unhappy,14,3
3906,rubber qualifi,3,0.0,0.0,1.0,Unhappy,14,2
3907,super,5,1.0,0.0,0.0,Happy,5,1
3908,good qualiti  faster deliveri,5,0.492,0.0,0.508,Happy,29,4
3909,wastewastewasteloss moneydo buy guy,1,0.0,0.0,1.0,Unhappy,35,4
3910,alway best buy flipkart right place,5,0.457,0.0,0.543,Happy,35,6
3911,excel product,5,0.75,0.0,0.25,Happy,13,2
3912,gud ,5,0.0,0.0,1.0,Happy,4,1
3913,shuttl good qualityand rubber part also smooth pali,5,0.293,0.0,0.707,Happy,51,8
3914,awesom must buy,5,0.0,0.0,1.0,Happy,15,3
3915,worst,1,0.0,1.0,0.0,Unhappy,5,1
3916,great price,5,0.804,0.0,0.196,Happy,11,2
3917,love,4,1.0,0.0,0.0,Unhappy,4,1
3918,packag good sent latest mfg part,5,0.367,0.0,0.633,Happy,32,6
3919,supper,5,0.0,0.0,1.0,Happy,6,1
3920,good,5,1.0,0.0,0.0,Happy,4,1
3921,pack worst,1,0.0,0.804,0.196,Unhappy,10,2
3922,nice shuttl,5,0.737,0.0,0.263,Happy,11,2
3923,super deal,5,0.796,0.0,0.204,Happy,10,2
3924,good,5,1.0,0.0,0.0,Happy,4,1
3925,excel product,5,0.75,0.0,0.25,Happy,13,2
3926,high durabl buy,5,0.0,0.0,1.0,Happy,15,3
3927,feel better play,5,0.841,0.0,0.159,Happy,16,3
3928,good productorigin good price market,5,0.659,0.0,0.341,Happy,36,5
3929,order deliveri complet  hour great flipkart,5,0.451,0.0,0.549,Happy,43,6
3930,best qualiti,5,0.808,0.0,0.192,Happy,12,2
3931,still good,4,0.744,0.0,0.256,Unhappy,10,2
3932,nice fast deliveri flipkart deliv next day small citi banswararajasthan superb  star deliveri,5,0.385,0.0,0.615,Happy,93,13
3933,good qualiti,5,0.744,0.0,0.256,Happy,12,2
3934,best product flipkart player continu play per day  hour  day one cork,5,0.398,0.0,0.602,Happy,69,12
3935,good one,5,0.744,0.0,0.256,Happy,8,2
3936,good,5,1.0,0.0,0.0,Happy,4,1
3937,osm product,4,0.0,0.0,1.0,Unhappy,11,2
3938,good job,5,0.744,0.0,0.256,Happy,8,2
3939,good one,1,0.744,0.0,0.256,Unhappy,8,2
3940,valu money,5,0.0,0.0,1.0,Happy,10,2
3941,good product,5,0.744,0.0,0.256,Happy,12,2
3942,good product,5,0.744,0.0,0.256,Happy,12,2
3943,good slow pref fast one overal good,5,0.537,0.0,0.463,Happy,35,7
3944,best one ,5,0.808,0.0,0.192,Happy,9,2
3945,good product,3,0.744,0.0,0.256,Unhappy,12,2
3946,qualiti productwond deliverydeliv timegood packag,5,0.0,0.0,1.0,Happy,49,5
3947,gd,5,0.0,0.0,1.0,Happy,2,1
3948,nice,5,1.0,0.0,0.0,Happy,4,1
3949,good,5,1.0,0.0,0.0,Happy,4,1
3950,product perfect regular badminton player indoor atmospher,5,0.381,0.0,0.619,Happy,57,7
3951,simpli awesom,5,0.0,0.0,1.0,Happy,13,2
3952,product receiv good,1,0.592,0.0,0.408,Unhappy,19,3
3953,maind  blow,5,0.0,0.0,1.0,Happy,11,2
3954,gud product,5,0.0,0.0,1.0,Happy,11,2
3955,nice,4,1.0,0.0,0.0,Unhappy,4,1
3956,excel product,5,0.75,0.0,0.25,Happy,13,2
3957,genuin product yonex durabl shuttl,5,0.0,0.0,1.0,Happy,34,5
3958,bottom part use come white smash,3,0.0,0.0,1.0,Unhappy,32,6
3959,nice specifi,5,0.737,0.0,0.263,Happy,12,2
3960,high durabl great qualityi love ,5,0.735,0.0,0.265,Happy,32,5
3961,best,5,1.0,0.0,0.0,Happy,4,1
3962,poor qualiti,4,0.0,0.756,0.244,Unhappy,12,2
3963,use week far perform okayhav good shot strength easili recommend durabl check,3,0.489,0.0,0.511,Unhappy,77,12
3964,strict made meet indoor condit buy play outdoor condit,3,0.231,0.0,0.769,Unhappy,54,9
3965,good,5,1.0,0.0,0.0,Happy,4,1
3966,nice,5,1.0,0.0,0.0,Happy,4,1
3967,deliveri servic simpli superb,5,0.577,0.0,0.423,Happy,29,4
3968,deliveri boy help,5,0.574,0.0,0.426,Happy,17,3
3969,bad product qualiti good ,5,0.345,0.417,0.238,Happy,25,4
3970,nice one,4,0.737,0.0,0.263,Unhappy,8,2
3971,look cute also play great,5,0.826,0.0,0.174,Happy,25,5
3972,good product ,3,0.744,0.0,0.256,Unhappy,13,2
3973,good,4,1.0,0.0,0.0,Unhappy,4,1
3974,good one damag  shuttl good,5,0.659,0.0,0.341,Happy,27,5
3975,realli good recommend bought,5,0.73,0.0,0.27,Happy,28,4
3976,good job,5,0.744,0.0,0.256,Happy,8,2
3977,super must buy thank flipcart good servic super fast servic never,5,0.653,0.0,0.347,Happy,65,11
3978,evergreen,4,0.0,0.0,1.0,Unhappy,9,1
3979,excel,4,1.0,0.0,0.0,Unhappy,5,1
3980,box shuttlecock chang,5,0.0,0.0,1.0,Happy,21,3
3981,mavi massiv shuttl,4,0.0,0.0,1.0,Unhappy,18,3
3982,nice product,5,0.737,0.0,0.263,Happy,12,2
3983,excel slow move durabl product,5,0.429,0.0,0.571,Happy,30,5
3984,nice,4,1.0,0.0,0.0,Unhappy,4,1
3985,qualiti vevi badwhi,2,0.0,0.0,1.0,Unhappy,19,3
3986,good product must buy,5,0.492,0.0,0.508,Happy,21,4
3987,good product,4,0.744,0.0,0.256,Unhappy,12,2
3988,good,5,1.0,0.0,0.0,Happy,4,1
3989,good qualiti durabl product,5,0.492,0.0,0.508,Happy,27,4
3990,econom higher cost caus less peopl attract bedminton,3,0.241,0.0,0.759,Unhappy,52,8
3991,awesom product ,5,0.0,0.0,1.0,Happy,15,2
3992,best qualiti,4,0.808,0.0,0.192,Unhappy,12,2
3993,good product,5,0.744,0.0,0.256,Happy,12,2
3994,good product  thank flipkart seller,5,0.643,0.0,0.357,Happy,35,5
3995,super,5,1.0,0.0,0.0,Happy,5,1
3996,well,5,1.0,0.0,0.0,Happy,4,1
3997,slow shuttl nice product,5,0.483,0.0,0.517,Happy,24,4
3998,power shuttl,5,0.0,0.0,1.0,Happy,12,2
3999,good,5,1.0,0.0,0.0,Happy,4,1
4000,time deliveri satisfactori pay condit,4,0.0,0.259,0.741,Unhappy,37,5
4001,receiv seal packthank flippcart seller,4,0.0,0.0,1.0,Unhappy,38,5
4002,got product  day heaven awesom,5,0.452,0.0,0.548,Happy,30,5
4003,nice product,4,0.737,0.0,0.263,Unhappy,12,2
4004,satisfi,5,0.0,0.0,1.0,Happy,7,1
4005,right price good qualityworth buydaili usag durabl,5,0.326,0.0,0.674,Happy,50,7
4006,superb durabl,5,0.804,0.0,0.196,Happy,13,2
4007,nice product,4,0.737,0.0,0.263,Unhappy,12,2
4008,absolut fantast,5,0.0,0.0,1.0,Happy,15,2
4009,fantast product plastic light weight,5,0.0,0.0,1.0,Happy,36,5
4010,good,5,1.0,0.0,0.0,Happy,4,1
4011,good,5,1.0,0.0,0.0,Happy,4,1
4012,much exepens,3,0.0,0.0,1.0,Unhappy,12,2
4013,good one best choic super qualiti,3,0.786,0.0,0.214,Unhappy,33,6
4014,nice product tq flipkart,3,0.483,0.0,0.517,Unhappy,24,4
4015,best shuttl,5,0.808,0.0,0.192,Happy,11,2
4016,wonder full,5,0.0,0.0,1.0,Happy,11,2
4017,good expect,3,0.744,0.0,0.256,Unhappy,11,2
4018,gud one,5,0.0,0.0,1.0,Happy,7,2
4019,one time  book item rallinet cheat send dummi product box yonex,3,0.0,0.231,0.769,Unhappy,63,11
4020,good purchas,4,0.744,0.0,0.256,Unhappy,12,2
4021,good qualiti,5,0.744,0.0,0.256,Happy,12,2
4022,nice,4,1.0,0.0,0.0,Unhappy,4,1
4023,excel producti love deliveri flipkart,5,0.706,0.0,0.294,Happy,37,5
4024,poor,4,0.0,1.0,0.0,Unhappy,4,1
4025,super,5,1.0,0.0,0.0,Happy,5,1
4026,ok ok yellow colour best compar,4,0.741,0.0,0.259,Unhappy,31,6
4027,good  product,4,0.744,0.0,0.256,Unhappy,13,2
4028,nice,5,1.0,0.0,0.0,Happy,4,1
4029,good product worth buy,1,0.706,0.0,0.294,Unhappy,22,4
4030,good product,5,0.744,0.0,0.256,Happy,12,2
4031,good product good price,5,0.744,0.0,0.256,Happy,23,4
4032,best buy origin product,5,0.583,0.0,0.417,Happy,23,4
4033,good expect,5,0.744,0.0,0.256,Happy,11,2
4034,super long life,5,0.661,0.0,0.339,Happy,15,3
4035,good  last,1,0.744,0.0,0.256,Unhappy,10,2
4036,good,4,1.0,0.0,0.0,Unhappy,4,1
4037,awesom experi,4,0.0,0.0,1.0,Unhappy,13,2
4038,bad,1,0.0,1.0,0.0,Unhappy,3,1
4039,good qualiti,5,0.744,0.0,0.256,Happy,12,2
4040,good,3,1.0,0.0,0.0,Unhappy,4,1
4041,mind blow super fantast,5,0.565,0.0,0.435,Happy,23,4
4042,good,5,1.0,0.0,0.0,Happy,4,1
4043,good productgood cover,5,0.592,0.0,0.408,Happy,22,3
4044,good product,5,0.744,0.0,0.256,Happy,12,2
4045,best qualiti,5,0.808,0.0,0.192,Happy,12,2
4046,best qualiti,5,0.808,0.0,0.192,Happy,12,2
4047,thank flipkart fast deliveri one day thank  ekart corrier also,5,0.385,0.0,0.615,Happy,62,10
4048,good,5,1.0,0.0,0.0,Happy,4,1
4049,nice qualityawesom yonex yonex baap baap ,5,0.359,0.0,0.641,Happy,41,6
4050,good,5,1.0,0.0,0.0,Happy,4,1
4051,excel,5,1.0,0.0,0.0,Happy,5,1
4052,good product,4,0.744,0.0,0.256,Unhappy,12,2
4053,slow,1,0.0,0.0,1.0,Unhappy,4,1
4054,good product pack littl damag intern product found safe,4,0.453,0.0,0.547,Unhappy,55,9
4055,bad,2,0.0,1.0,0.0,Unhappy,3,1
4056,gud need liitl bit imporov,4,0.0,0.0,1.0,Unhappy,26,5
4057,nice product,5,0.737,0.0,0.263,Happy,12,2
4058,good,5,1.0,0.0,0.0,Happy,4,1
4059,good qualiti stuff,5,0.592,0.0,0.408,Happy,18,3
4060,good shuttl intermedi user ,5,0.492,0.0,0.508,Happy,27,4
4061,gud,5,0.0,0.0,1.0,Happy,3,1
4062,niceand yonex  better first confus muchat last frnds order product nice doubt,5,0.331,0.145,0.523,Happy,77,12
4063,brand word,5,0.0,0.0,1.0,Happy,10,2
4064,must buy,5,0.0,0.0,1.0,Happy,8,2
4065,good bit expens,4,0.592,0.0,0.408,Unhappy,15,3
4066,valu money,4,0.0,0.0,1.0,Unhappy,10,2
4067,excel buy product order anoth pack,3,0.375,0.0,0.625,Unhappy,34,6
4068,good qualiti,5,0.744,0.0,0.256,Happy,12,2
4069,genuin product,5,0.0,0.0,1.0,Happy,14,2
4070,second time deliverd orgin product thank flipkart,2,0.294,0.0,0.706,Unhappy,49,7
4071,good qualiti,4,0.744,0.0,0.256,Unhappy,12,2
4072,good,5,1.0,0.0,0.0,Happy,4,1
4073,one day late deliveri ok,3,0.355,0.0,0.645,Unhappy,24,5
4074,nice,4,1.0,0.0,0.0,Unhappy,4,1
4075,got origin product check sunrisecomgo,5,0.0,0.0,1.0,Happy,37,5
4076,good qualiti product,5,0.592,0.0,0.408,Happy,20,3
4077,good,4,1.0,0.0,0.0,Unhappy,4,1
4078,buy item product miss,1,0.0,0.348,0.652,Unhappy,21,4
4079,right product send seller,5,0.0,0.0,1.0,Happy,25,4
4080,excel,5,1.0,0.0,0.0,Happy,5,1
4081,good,5,1.0,0.0,0.0,Happy,4,1
4082,good,4,1.0,0.0,0.0,Unhappy,4,1
